#{"t_start": 1765153653.31752, "env_id": "BipedalWalker-v3"}
r,l,t
-101.243831,81,306.953859
-130.864852,116,307.053844
-104.806022,111,307.20977
-108.656862,50,307.250448
-110.668477,58,307.302032
-107.372252,52,307.358546
-101.133001,359,307.894594
-85.387367,1600,310.682646
-107.894789,62,310.754092
-107.763461,74,310.901278
-111.356427,61,310.973715
-105.89539,49,311.029593
-110.07409,37,311.076499
-109.955174,85,311.364023
-103.569462,61,311.423409
-102.496353,72,311.499029
-113.107516,63,311.556908
-101.930675,56,311.63644
-103.351288,79,311.702272
-112.269599,62,311.766652
-97.235068,437,312.637964
-105.295348,67,312.747935
-109.49233,66,312.819589
-107.40518,48,313.017907
-109.010785,46,313.102045
-98.472584,382,313.520718
-113.271687,65,313.581032
-112.104552,43,314.023171
-104.046097,136,314.172472
-103.10735,53,314.233632
-117.067085,88,314.457509
-115.815283,55,314.520447
-107.783554,52,314.580771
-107.905586,62,314.652393
-172.369063,1091,316.70151
-112.901375,118,316.79755
-107.465837,50,316.844388
-112.936223,154,317.145689
-102.819185,62,317.201731
-109.500494,46,317.245212
-105.164063,72,317.358843
-104.987455,92,317.432878
-113.265375,107,317.524503
-111.241027,53,317.794976
-103.832479,106,317.885304
-105.368626,46,317.920822
-101.591996,159,318.237394
-110.201127,45,318.296838
-110.871529,58,318.349709
-86.242629,1600,321.214502
-113.63153,69,321.314625
-108.873045,79,321.377969
-91.229135,880,322.944061
-102.910041,98,323.301769
-105.336462,56,323.368605
-94.939408,984,325.085717
-93.965786,248,325.358545
-104.092649,77,325.426059
7.939724,1600,327.448849
-101.421711,88,327.71061
-121.513726,86,327.784564
15.008688,1600,329.819481
-127.415556,110,329.924573
-104.11002,1214,331.039737
-109.520133,326,331.965683
-124.502328,83,332.036454
-101.622152,464,332.919713
-94.842872,195,333.161678
-105.536345,191,333.315268
-111.704936,74,333.425009
-132.217083,127,333.519636
-101.841021,62,333.574845
-107.090902,81,333.936225
-103.204771,82,334.012885
-111.679666,88,334.088969
-99.211067,227,334.462466
-101.746352,98,334.844042
-107.217261,61,334.920871
-108.533138,41,334.957429
-101.553473,56,335.001927
-105.69985,56,335.087922
-107.863867,358,335.538341
-140.038938,753,336.51419
-118.815573,80,336.571654
-107.176189,43,336.612321
-117.275403,144,336.815265
-89.866122,664,339.235045
-76.095128,1600,341.555161
-98.345251,61,341.624418
-116.044543,52,341.680563
-73.167452,1600,343.74191
-112.811096,68,343.92965
-114.33395,76,344.008941
-114.215816,44,344.058699
-66.063904,1600,346.654825
-64.925507,1600,349.097906
-116.751228,68,349.174832
-101.008577,53,349.218599
-102.956698,40,349.247482
-73.276361,1600,351.967607
-60.878695,1600,354.235837
-52.045548,1600,356.833771
-114.611475,67,356.913302
-47.435094,1600,359.586345
-153.632649,1495,361.481082
-114.230561,92,361.729637
-113.755645,69,361.784812
-107.65726,58,361.829812
-105.878561,577,362.623753
-107.725784,153,362.790689
-104.852139,128,362.945639
-113.623348,63,363.007471
-133.072754,1438,364.947814
-110.452279,50,365.152197
-123.919158,91,365.255088
-107.931436,49,365.371085
-101.073342,120,365.629631
-106.842967,75,365.684799
-116.303138,96,365.758833
-113.534942,915,367.263253
-110.396356,73,367.343131
-104.297826,61,367.391488
-111.441246,85,367.724972
-122.755679,97,367.817976
-100.622333,67,367.876822
-118.276568,88,368.26897
-108.011979,158,368.401901
-121.385397,65,368.510695
-29.941582,1600,370.95232
-114.338791,123,371.096403
-113.550642,71,371.201351
-101.367572,55,371.265881
-113.128593,96,371.370072
-105.570578,63,371.623891
-108.926862,71,371.701182
-44.015079,1600,374.708509
-112.183335,147,374.874804
-109.729116,52,374.921908
-39.018939,1600,378.58652
-114.622168,64,378.663029
-58.671626,1600,381.826356
-37.667031,1600,384.614998
-72.315199,1600,390.468583
-34.451053,1600,393.741663
-4.504681,1600,396.662735
